"cbg","zonecolor","zonename"
"360811579032",,
"360050210024",,
"360810991003",,
"360470936001",,
"360050041003",,
"360810485001","Yellow","Flushing"
"360470512003",,
"360470514003",,
"360470140002","Yellow","Brooklyn"
"360610211001",,
"360470421004",,
"360810553001",,
"360471120002",,
"360470549001",,
"360050204001",,
"360050153002",,
"360810998014","Red","Rockaway"
"360050444002",,
"360470509002",,
"360470110002","Orange","Brooklyn"
"360050310001",,
"360810169003",,
"360810278002",,
"360811621001",,
"360810999001",,
"360610189004",,
"360610180003",,
"360810042002",,
"360810376004",,
"360470308001","Yellow","Brooklyn"
"360610093001",,
"360050125001",,
"360610074002",,
"360050200003",,
"360050179013",,
"360470916004",,
"360470902003",,
"360610070003",,
"360050035003",,
"360810942033",,
"360050405022",,
"360471160003",,
"360811551025",,
"360610149003",,
"360470152002","Yellow","Brooklyn"
"360050281002",,
"360850319022",,
"360810737001","Orange","Flushing"
"360610237000",,
"360610156013",,
"360470950001",,
"360470314000","Yellow","Brooklyn"
"360610196001",,
"360610118004",,
"360610098004",,
"360810214003","Yellow","Flushing"
"360470742002","Red","Brooklyn"
"360810187003",,
"360850021001",,
"360470600003",,
"360850112021",,
"360470207003",,
"360810687003","Orange","Flushing"
"360810779032","Red","Flushing"
"360050451011",,
"360610227003",,
"360470782001","Orange","Brooklyn"
"360050419002",,
"360050078002",,
"360850303012",,
"360050415004",,
"360610188004",,
"360470501002",,
"360610154008",,
"360470153001",,
"360050251001",,
"360610218003",,
"360850277062",,
"360850114022",,
"360850151005",,
"360471104004",,
"360810281003","Yellow","Flushing"
"360811435001",,
"360810281002","Yellow","Flushing"
"360610008002",,
"360050151001",,
"360810809007","Orange","Flushing"
"360810261004",,
"360050253003",,
"360470166002","Yellow","Brooklyn"
"360050050024",,
"360470417004",,
"360470692002","Orange","Brooklyn"
"360810857003","Yellow","Flushing"
"360050144001",,
"360810929002",,
"360050233011",,
"360050399013",,
"360810113002",,
"360810052002",,
"360850040003",,
"360810741002","Orange","Flushing"
"360470142002","Yellow","Brooklyn"
"360470798022",,
"360810169001",,
"360610119002",,
"360470379002",,
"360050425001",,
"360811265001","Yellow","Flushing"
"360050430003",,
"360470427003",,
"360810981001",,
"360810954002",,
"360810006003","Yellow","Flushing"
"360610057002",,
"360810025004",,
"360850156011",,
"360810938002",,
"360810399003","Yellow","Flushing"
"360810123011",,
"360810105002",,
"360050430002",,
"360050160003",,
"360050151004",,
"360470460003","Orange","Brooklyn"
"360810809006","Orange","Flushing"
"360470051002",,
"360811123002",,
"360471158003",,
"360050386008",,
"360810206001",,
"360050053001",,
"360470505002",,
"360811291044",,
"360811113003",,
"360050426005",,
"360050328004",,
"360810007002",,
"360470956001",,
"360810063002",,
"360470856003",,
"360810330001",,
"360470573002",,
"360470252003","Orange","Brooklyn"
"360470076001","Orange","Brooklyn"
"360810115002",,
"360810123012",,
"360470610045","Orange","Brooklyn"
"360811099002",,
"360470214001","Red","Brooklyn"
"360810803012","Yellow","Flushing"
"360810679002","Yellow","Flushing"
"360050175001",,
"360850070001",,
"360810111002",,
"360050051003",,
"360610148024",,
"360850006000",,
"360050079006",,
"360810379001","Yellow","Flushing"
"360610179002",,
"360471158001",,
"360470582001","Orange","Brooklyn"
"360050405025",,
"360850040004",,
"360470886003",,
"360610091001",,
"360470586001","Orange","Brooklyn"
"360810548002",,
"360050314001",,
"360810219001",,
"360050149003",,
"360810942021",,
"360810095002",,
"360050378003",,
"360050193002",,
"360610265002",,
"360810143002",,
"360470205003",,
"360470493001",,
"360470431004",,
"360811139001",,
"360470565001",,
"360850074000",,
"360470944021",,
"360470656001","Red","Brooklyn"
"360850128051",,
"360810283004","Yellow","Flushing"
"360470527005",,
"360610161006",,
"360610076001",,
"360610040004",,
"360850105005",,
"360810142012","Yellow","Flushing"
"360050019004",,
"360470363001",,
"360850070004",,
"360811403002",,
"360470198001","Yellow","Brooklyn"
"360050392001",,
"360810779044","Red","Flushing"
"360050183012",,
"360610110002",,
"360050165001",,
"360810407002","Yellow","Flushing"
"360470424001","Orange","Brooklyn"
"360470074004","Yellow","Brooklyn"
"360470846001",,
"360050205012",,
"360470046001","Yellow","Brooklyn"
"360050133003",,
"360050243002",,
"360610228002",,
"360470894002",,
"360470548002","Red","Brooklyn"
"360050394001",,
"360470053003",,
"360470426001","Yellow","Brooklyn"
"360050213021",,
"360810327001","Yellow","Flushing"
"360811417002","Yellow","Flushing"
"360810457002","Yellow","Flushing"
"360610128003",,
"360610039002",,
"360470311001",,
"360810790002",,
"360610228003",,
"360470404002","Yellow","Brooklyn"
"360810269011","Yellow","Flushing"
"360470218003","Red","Brooklyn"
"360470102002","Orange","Brooklyn"
"360610071004",,
"360050269001",,
"360610166001",,
"360810134001","Yellow","Flushing"
