"placekey","location_name","latitude","longitude"
zzz-222@627-s6k-sdv,Prospect Playground,40.84332,-73.890815
zzy-222@627-s92-gtv,Grant Statue,40.676561,-73.952778
zzz-222@627-wgj-2c5,Shore Boulevard Malls,40.581823,-73.947665
zzz-222@627-s8x-xqz,Prospect Heights Community Farm,40.678137,-73.967476
zzz-222@627-s84-tsq,Linwood Playground,40.666022,-73.880308
zzz-222@627-s4s-nnq,Broadway Malls,40.811505,-73.961334
zzz-222@627-s4v-2zf,White Playground,40.791666,-73.945841
zzy-222@627-s4m-wrk,The New American Wing Cafe,40.780295,-73.963582
zzy-222@627-s8x-j5f,Fulton Park,40.679268,-73.931563
zzz-222@627-s6k-kfz,Playground 174,40.834373,-73.877749
zzy-224@627-s8k-snq,Flower Door Garden,40.72511,-73.978403
zzz-222@627-s6b-54v,Rev Lena Irons Unity Park,40.831021,-73.906591
zzz-222@627-s8y-hbk,Pratt Playground,40.69273,-73.962493
zzz-222@627-wfz-ckf,Bildersee Playground,40.63555,-73.911678
zzy-222@627-s62-mtv,Inwood Canoe Club,40.867311,-73.932724
225-222@627-wc7-zmk,RA MA Yoga Institute,40.720791,-73.986575
zzz-222@627-wgb-j7q,Tilden Playground,40.647801,-73.931445
zzy-222@627-s6n-b6k,Sir William's Dog Run,40.862581,-73.931304
zzz-222@627-wgw-tsq,I S 62,40.637647,-73.971225
23t-224@627-wh2-hwk,Bay Park Medical,40.665011,-73.98527
zzy-222@627-rzn-249,Horatio Playground,40.757976,-73.753929
zzw-222@627-rvx-gkz,Clearview Park Golf Course,40.782276,-73.788758
zzz-222@627-s85-vpv,Ethan Allen Playground,40.655849,-73.886863
zzz-222@627-s7p-7wk,P S 153q,40.716308,-73.904647
zzw-224@627-s95-vxq,Marcy Green South,40.708455,-73.95734
zzz-222@627-rvn-hdv,Pelham Bay Park,40.869765,-73.795786
zzz-222@627-rzt-33q,Louis Pasteur Park,40.761911,-73.735265
zzz-222@627-w7d-cyv,P S 3r,40.52144,-74.212128
zzy-222@627-s4v-bhq,Center for Cpmprehensive Care Morningside Park,40.803706,-73.958034
zzw-222@627-rwh-st9,Mosholu Golf Course,40.887181,-73.884413
zzz-222@627-tnz-ffz,Hilton Holiday Gardens,40.668621,-73.795496
zzw-222@627-vsq-v2k,Annadale Beach,40.526025,-74.163441
zzz-222@627-wc7-75z,Thomas Paine Park,40.71477,-74.001841
zzz-222@627-s4t-7h5,Riverside Neighborhood Park,40.825848,-73.95354
zzz-222@627-wdh-4jv,Ocean Parkway Malls,40.606632,-73.966973
22n-222@627-wc7-qfz,The Newman Theater at the Joseph Papp Public Theatre,40.728972,-73.991711
zzw-227@627-s8r-f75,At Ease Yoga,40.753576,-73.983254
zzy-222@627-rvx-54v,New York City Department Of Parks And Recreation,40.786558,-73.789527
222-222@627-vsk-5pv,Fly High Indoor Trampoline Park,40.603052,-74.190826
222-224@627-s9d-ch5,WFM Plumbing Company,40.7612,-73.857804
zzy-225@627-wdb-ce5,New York City Department Of Parks And Recreation,40.575281,-73.971469
zzz-222@627-s9h-b49,Hart Playground 147,40.77426,-73.81945
224-222@627-wdb-rrk,Cyclone Coaster,40.57511,-73.977677
zzz-222@627-wh2-p35,Butterfly Gardens,40.660155,-73.98638
22b-224@627-s4r-sh5,80 Central Park West Garage,40.773985,-73.978104
zzy-225@627-s6b-54v,New York City Department Of Parks And Recreation,40.831057,-73.906576
zzz-223@627-s96-vpv,Rodney Playground Center,40.710224,-73.9556
zzz-222@627-s64-q9f,Maclaughlin Playground,40.88818,-73.905168
zzy-222@627-s8z-rkz,Grand Army Plaza Farmers' Market,40.673581,-73.968431
zzy-222@627-wc7-dqf,Pier 26 Hudson River Park,40.721141,-74.013641
zzz-222@627-s8w-2kz,CharlieS Place,40.699246,-73.94596
zzz-222@627-w9j-3bk,Statue Of Liberty National Monument,40.689838,-74.045936
zzw-222@627-wf9-r8v,Ocean Breeze Park,40.587015,-74.078388
223-222@627-wff-nwk,5050 Skatepark,40.628102,-74.074595
zzy-224@627-s8r-wzf,NYC Rides,40.767799,-73.974452
zzz-222@627-s7v-9mk,Underbridge Dog Run,40.733933,-73.845256
zzz-222@627-s9q-hh5,P S 131q,40.717249,-73.79428
222-222@627-wd9-3kf,T & J Salvage,40.582986,-73.982364
zzy-223@627-s9f-vmk,Wheel Fun Rentals,40.739134,-73.841106
zzz-222@627-s7t-j35,Yellowstone Park,40.726003,-73.84778
zzw-222@627-s9q-gtv,Qch Afterchool Program Queens Collegiate,40.712283,-73.799005
zzz-222@627-s8k-yn5,El Jardin Del Paraiso Park,40.722288,-73.979076
zzz-222@627-wgz-75z,Patrick ORourke Park,40.618937,-74.013869
zzw-222@627-s8j-hdv,Bocce USQ,40.736469,-73.989943
zzw-225@627-s9c-zpv,Two Boots Citi Field,40.755933,-73.845705
zzz-222@627-wdc-emk,West Playground,40.58642,-73.969944
zzw-223@627-wby-z4v,The Battery,40.703146,-74.015994
zzz-222@627-s6j-2zf,Belmont Playground 182,40.850141,-73.887629
zzy-223@627-wc9-3wk,Central Parking System,40.696106,-73.996983
228-222@627-wf8-6x5,Ps 35 The Clove Valley School,40.613575,-74.098984
zzy-222@627-s4p-4n5,Central Park Tennis Center,40.789869,-73.962085
zzw-223@627-s4n-8sq,Cafe On One,40.781381,-73.973567
zzz-222@627-s8v-y9z,Hart To Hart,40.693152,-73.947235
zzy-222@627-s8g-zzz,McCarren Park Tennis Courts,40.721541,-73.953879
zzw-222@627-wf5-wff,Alice Austen Park,40.614947,-74.0627
zzz-222@627-w76-n89,Hybrid Oak Woods Park,40.503017,-74.235118
zzy-222@627-s4r-649,Samuel N Bennerson 2nd Playground,40.77369,-73.987064
zzz-222@627-s89-jd9,Ms 137,40.677413,-73.839321
zzz-222@627-s6c-hbk,Tiffany Playground,40.824818,-73.894302
zzy-22d@627-s8j-h3q,MTA 14 St Union Square Subway Station,40.735285,-73.991057
zzz-222@627-s8f-cbk,Tudor Grove Playground,40.749071,-73.971142
zzy-222@627-wg5-975,Wheel Fun Rentals Marine Park,40.604217,-73.931856
zzz-222@627-s4t-c89,St Nicholas Park,40.817415,-73.949434
zzy-222@627-s6g-45f,Colonel Charles Young Playground,40.819607,-73.936232
zzy-223@627-s8q-9cq,L CPL Thomas P Noonan Jr Playground,40.741765,-73.92202
zzz-222@627-rwy-5pv,The Pearly Gates,40.838673,-73.845523
zzy-222@627-s9c-qpv,Never Enuff Fishing,40.760352,-73.851943
zzz-222@627-s69-xkf,College Avenue Greenthumb,40.838033,-73.90992
zzw-222@627-s9y-fzz,Peter's Field Park,40.705917,-73.774866
zzw-222@627-s8r-3yv,Peace Garden Cafe,40.752086,-73.968121
zzz-222@627-s6c-8y9,Pontiac Playground,40.814431,-73.908242
zzw-222@627-s69-py9,Joyce Kilmer Park,40.82868,-73.922471
zzz-222@627-tnw-6kz,Railroad Park,40.678242,-73.768324
zzz-222@627-s7t-fmk,Russell Sage Playground,40.723729,-73.851449
zzy-222@627-wg9-m6k,Wingate Field,40.651264,-73.943594
zzz-222@627-s6n-59f,Beanstalk Playground,40.853759,-73.916794
zzw-222@627-rwc-wtv,New York Botanical Garden,40.862368,-73.877243
zzy-223@627-s9t-6zf,Forest Park,40.704072,-73.845929
zzz-222@627-s6h-bzf,Park Webster,40.844562,-73.901958
zzz-223@627-rwj-7dv,P S 103,40.892473,-73.861942
zzz-222@627-s6h-m8v,University Woods,40.859285,-73.914855
zzw-222@627-s8y-8d9,The Harvey Theater at The Brooklyn Academy Of Music,40.688577,-73.97871
zzz-222@627-tmm-g6k,Beach Channel Playground,40.588867,-73.805745
zzz-222@627-sb5-8jv,Nyc Open Space 85,40.779231,-73.904246
zzy-222@627-s4v-gtv,Tom's Dog Run,40.795674,-73.949547
